USER       PID  PPID    VSZ   RSS TTY      STAT STIME     TIME COMMAND
root         1     0  56856  6592 ?        Ss   10:10 00:00:01 /sbin/init
root         2     0      0     0 ?        S    10:10 00:00:00 [kthreadd]
root         3     2      0     0 ?        S    10:10 00:00:00 [ksoftirqd/0]
root         5     2      0     0 ?        S<   10:10 00:00:00 [kworker/0:0H]
root         6     2      0     0 ?        S    10:10 00:00:00 [kworker/u2:0]
root         7     2      0     0 ?        S    10:10 00:00:00 [rcu_sched]
root         8     2      0     0 ?        S    10:10 00:00:00 [rcu_bh]
root         9     2      0     0 ?        S    10:10 00:00:00 [migration/0]
root        10     2      0     0 ?        S<   10:10 00:00:00 [lru-add-drain]
root        11     2      0     0 ?        S    10:10 00:00:00 [watchdog/0]
root        12     2      0     0 ?        S    10:10 00:00:00 [cpuhp/0]
root        13     2      0     0 ?        S    10:10 00:00:00 [kdevtmpfs]
root        14     2      0     0 ?        S<   10:10 00:00:00 [netns]
root        15     2      0     0 ?        S    10:10 00:00:00 [khungtaskd]
root        16     2      0     0 ?        S    10:10 00:00:00 [oom_reaper]
root        17     2      0     0 ?        S<   10:10 00:00:00 [writeback]
root        18     2      0     0 ?        S    10:10 00:00:00 [kcompactd0]
root        19     2      0     0 ?        SN   10:10 00:00:00 [ksmd]
root        21     2      0     0 ?        SN   10:10 00:00:00 [khugepaged]
root        22     2      0     0 ?        S<   10:10 00:00:00 [crypto]
root        23     2      0     0 ?        S<   10:10 00:00:00 [kintegrityd]
root        24     2      0     0 ?        S<   10:10 00:00:00 [bioset]
root        25     2      0     0 ?        S<   10:10 00:00:00 [kblockd]
root        26     2      0     0 ?        S<   10:10 00:00:00 [devfreq_wq]
root        27     2      0     0 ?        S<   10:10 00:00:00 [watchdogd]
root        28     2      0     0 ?        S    10:10 00:00:00 [kswapd0]
root        29     2      0     0 ?        S<   10:10 00:00:00 [vmstat]
root        41     2      0     0 ?        S<   10:10 00:00:00 [kthrotld]
root        42     2      0     0 ?        S<   10:10 00:00:00 [ipv6_addrconf]
root        71     2      0     0 ?        S<   10:10 00:00:00 [ata_sff]
root        72     2      0     0 ?        S    10:10 00:00:00 [scsi_eh_0]
root        73     2      0     0 ?        S<   10:10 00:00:00 [scsi_tmf_0]
root        74     2      0     0 ?        S    10:10 00:00:00 [scsi_eh_1]
root        75     2      0     0 ?        S<   10:10 00:00:00 [scsi_tmf_1]
root        79     2      0     0 ?        S    10:10 00:00:00 [kworker/u2:1]
root       109     2      0     0 ?        S<   10:10 00:00:00 [bioset]
root       110     2      0     0 ?        S    10:10 00:00:00 [scsi_eh_2]
root       111     2      0     0 ?        S<   10:10 00:00:00 [scsi_tmf_2]
root       113     2      0     0 ?        S<   10:10 00:00:00 [kworker/0:1H]
root       115     2      0     0 ?        S<   10:10 00:00:00 [bioset]
